 	oocyte	sperm	placenta	trophoblast stem cell	episc	esc	HSC	Common Lymphoid Progenitor (CLP)	Common Myeloid Progenitor (CMP)	Granulocyte-Monocyte Progenitor (GMP)	Megakaryocyte-Erythroid Progenitor (MEP)	pre B Cell	B Cell	monocytes - classical	dendritic cell - plasmacytoid	macrophage	thymocyte DN	thymocyte - DP	T Cell	natural killer cells	neutrophils	microglia	erythroblast	spleen	Langerhans cell	lymph node stromal cell	medullary thymic epithelial	terminal bronchiolar epithelial cells	endothelial cell - gonad	endothelial cell - blood vessel	endothelial cell - lymphatic vessel	msc	osteoblast	keratinocyte	mef	fibroblast - cardiac	fibroblast - skin	fibroblast - thymus	myoblast	skeletal muscle	cardiomyocyte	mammary gland - lactating	adipose - white	adipose - brown	bladder	kidney	liver	lung	prostate	pituitary	thyroid	pancreas - islets	pancreas - whole	intestine - large	intestine - paneth cell	intestine - small	nsc	npc	neuron - glutamatergic	olfactory epithelium	retinal pigment epithelium	cornea	lens
Plagl1	0.001266967	-0.001612827	0.002281359	-0.002026731	0.002075537	-0.002756005	-0.000709098	-0.000994232	0.000670425	0.000410714	-0.000419788	-0.000274175	0.001781106	-0.000515558	-0.000386339	-0.001688106	-3.26E-05	-0.000374091	0.000615506	-9.61E-05	-0.000990135	-0.00094417	0.002445637	-0.001901323	0.003191851	-0.004233539	0.001869585	0.002361722	0.000944725	-0.001764236	-0.002231017	-0.003959677	0.001987061	0.001724636	0.001163568	0.000347183	0.000987149	0.002386525	0.001784886	-0.003144174	0.003115281	-0.000498926	0.001514014	0.000727666	0.000953911	-0.000901443	-0.002202306	0.001381906	-0.003098031	0.001940275	0.001235749	-0.002830934	0.003025184	0.000268974	-0.001708395	-0.000598481	0.00025285	-0.000371439	0.001278801	0.001952168	-0.002852299	-0.002927503	0.001211648
Pml	0.000674859	0.000106022	-0.000155493	-2.35E-05	0.000143105	0.000129007	0.000108471	-9.17E-05	0.000100607	-4.67E-05	0.000571178	2.69E-05	0.000111254	-0.000149997	-0.000125418	-0.000272681	5.29E-05	0.000141031	-0.000176392	2.59E-05	0.000126886	-3.34E-05	-0.000246491	0.000165087	5.07E-05	0.000177958	2.82E-05	9.30E-05	0.000528802	-0.000370147	-4.78E-05	0.000196178	-6.66E-05	-5.61E-05	-0.000384147	0.000748787	0.000196958	-0.000219477	0.000413897	-7.21E-05	-5.35E-05	8.81E-05	-0.00037757	-3.85E-05	-5.23E-05	1.98E-05	-0.000179619	-0.000144994	-0.000144528	0.000863282	0.000185432	6.99E-05	-9.65E-05	-1.91E-05	-6.66E-05	0.000241494	-0.003106642	0.000813032	-0.001919005	0.000504396	0.000912647	0.000697214	0.000793145
Pms1	0.000111135	-0.000135168	-0.000839509	0.001615152	0.000627718	-0.000130113	-0.005522929	0.001756289	0.002021821	-0.001482742	-0.00037233	0.000367547	0.000248332	-0.000663213	0.002794768	-0.002846404	0.00259809	-0.002617999	0.003374183	-0.00150549	0.000193852	-0.001170461	0.001814269	0.001288933	-0.000159627	0.000460331	0.000616315	-0.002666187	-0.002077773	0.001032935	-0.000469876	-0.000101893	-0.00092341	-0.000100949	-0.002114351	-0.000150165	0.000552525	-0.000397919	0.00271297	-0.002577267	0.00433897	-0.000280695	-0.00036297	-0.000413883	-7.29E-05	-0.000616782	0.003219635	-4.85E-05	5.74E-05	-0.000516938	-0.000268604	-0.000726924	-0.000243365	0.000156554	-0.001109285	-0.00219677	0.001580708	-0.001423059	-0.00225059	-0.001123191	0.002317054	0.001785856	0.00190524
Pou1f1	-0.000329816	-0.000331859	-0.000218149	-8.03E-05	1.16E-05	-0.000318444	-0.000327266	-7.76E-05	0.000374674	-0.000232306	9.19E-05	-4.52E-05	-0.000297145	0.000169597	9.25E-07	0.000433475	-9.34E-05	-6.38E-05	0.000248529	-0.00015471	-0.000497056	9.51E-05	0.000289334	9.63E-06	4.98E-05	-6.51E-05	-0.000170454	-0.000281174	5.70E-05	-9.75E-05	0.00017042	-1.82E-05	-9.48E-05	0.000305651	0.000242153	5.60E-05	-0.000184115	-0.000479821	-0.000295983	-0.000205957	-0.000375424	-0.000175953	0.000392431	0.000202385	6.22E-05	-0.000103527	9.37E-05	0.000134998	-0.000328715	0.004526124	-0.00045319	-0.001488143	-0.000578829	-7.02E-05	-0.000210653	0.000354924	-0.000475736	-5.76E-05	-0.000763913	-0.000709139	-9.38E-05	0.000212361	0.000138232
Pou2af1	-0.000747292	0.000161248	-0.000640118	8.69E-05	0.000461276	-0.001217803	-0.002673739	0.005491575	-0.001055292	-0.000153575	-0.001093636	0.002098978	0.003635803	-0.00070052	-0.002071418	-0.00185047	-0.001869574	-0.000251026	-0.001164036	-0.00076517	-0.000465417	0.000212076	-0.000298029	0.001591249	-0.000295963	-0.000889994	0.00037076	2.46E-05	-0.000508738	0.006241217	-0.001703847	-0.000640555	-0.000232995	0.000495089	0.00089759	-0.000123171	0.000229684	-0.000572688	-0.000869067	0.000255958	-0.000936506	0.00042262	-5.03E-05	0.000115235	-8.86E-05	-0.00055472	-5.12E-06	-0.000507108	-9.39E-05	3.61E-05	-0.000411158	0.000896924	4.90E-05	-0.002478151	-0.000840015	0.004695497	0.00053367	-0.000268317	-0.000803961	-0.000474446	0.000309352	-0.000203951	-0.000485891
Pou2f1	0.00044716	0.000777609	-0.003958148	0.001793219	-0.00035465	-0.000207903	-0.000318731	-0.0003642	0.000345447	0.001214609	-0.000317219	-0.000195549	-0.000446069	0.000796305	0.000152443	-0.000867914	-0.001498571	-0.000338364	0.001337182	0.000138391	0.000468426	0.000899182	0.001956552	-0.000102546	0.000151676	-0.005199612	0.000265144	-6.21E-06	0.000263419	0.000979085	0.002174687	-0.001967431	-0.001772189	0.000604501	-0.004349895	0.000544894	0.002595237	0.002104928	0.002009176	0.000805353	0.000455964	8.08E-05	0.001049358	0.001159067	3.88E-05	0.000759631	-0.004374825	0.001230609	0.000139559	0.000662454	-0.001039736	0.000200882	-0.002373291	-0.000686082	0.000817441	0.001803717	-0.000277935	0.000509264	0.000169396	0.000580666	0.000196286	0.000175934	0.000330999
Pou2f2	0.001352806	0.000784156	-0.000226488	0.000340185	-0.000903925	-0.0005717	-0.002545213	0.005007101	-0.001977575	-0.003127695	-0.000813038	0.001272524	0.001353559	0.004721765	0.002762373	0.003007122	-0.003028721	-3.46E-05	-0.001291037	-0.003162896	-0.002009255	0.003368175	-0.000465639	0.001629703	-0.001518897	0.000247645	-4.92E-05	9.87E-05	-0.000144026	-0.000919275	5.51E-05	-9.35E-06	-0.000814814	-0.000429486	0.000198057	8.24E-05	0.000137471	-0.000364655	-0.00088346	0.000653647	-0.000626778	-4.54E-05	-0.001441611	0.000586921	-0.000357776	-1.02E-05	-0.000244935	-0.000167469	3.53E-05	0.000667743	-0.000453744	-0.000174705	0.000811514	2.32E-05	-0.000477536	-0.000374516	-6.55E-05	0.00316745	-0.00066247	-0.000449238	-0.000234045	-0.000466952	-0.001409729
Pou2f3	-0.000609329	-0.000843879	-0.000518991	-0.000273038	-7.23E-05	-0.000455249	-0.000374878	0.000477299	0.00089801	-0.000131254	0.000172401	-0.000244294	0.000223127	-0.00080723	-0.000492282	-0.000744207	-0.000456226	-0.000377478	0.000150743	-0.000271333	-0.000924594	-0.000511367	-0.000302231	0.00021597	0.003424729	8.46E-05	0.002446017	0.000604649	3.39E-05	-0.000216723	1.71E-05	1.50E-05	-0.000431633	0.003026026	0.000103287	-0.000784129	-0.000708863	-0.000214664	-0.0002545	-0.000172023	0.000698706	-0.001388577	0.000834029	3.80E-05	-0.000468106	0.000249139	-0.000347917	7.96E-05	-0.001349868	8.49E-05	-0.000452308	-0.0001394	-0.000609325	-0.001797817	0.004113949	-0.000803956	0.000144309	-0.00063869	-0.000366346	0.000130019	0.000514732	-0.001369643	0.000243682
Pou3f1	-0.000535559	-0.000661479	-0.001502429	0.003577163	-0.000495824	-0.001388267	-0.000470581	0.000576094	0.000736803	-0.000517948	-0.00028158	-4.73E-05	-4.03E-05	-0.001054778	6.77E-05	-0.000885744	-0.00012581	-0.000444311	-9.99E-05	-0.000339057	0.002456006	-0.001030746	-0.000428807	-0.000529533	0.003063404	6.52E-05	-0.000884839	0.000516627	0.000103629	-0.000406437	0.000325959	-0.000826355	-0.000143267	0.003597593	-0.00027255	-0.000743681	-2.47E-05	8.70E-05	-0.000208768	9.91E-06	0.000465421	-0.000716118	0.00058676	-7.03E-05	-0.000746478	0.00023019	0.000163523	6.19E-05	-0.000669177	-0.000268443	0.00023358	-9.31E-05	6.93E-05	-0.000300112	-0.000282576	-7.49E-06	-0.000643048	-0.000848808	0.002805049	-0.000207887	-0.000175263	-0.000997224	-6.94E-05
Pou3f2	-0.000392357	-0.0001751	-5.26E-05	-0.000234277	-0.000448255	-4.13E-05	-1.87E-05	-0.000169181	0.000124716	-0.000378243	0.000117955	-7.62E-05	-0.000259598	0.000232654	0.000338517	0.000220366	-7.02E-05	9.40E-05	0.000263954	-3.80E-05	-0.00035757	-1.37E-05	0.000187939	-9.11E-05	0.000123991	-0.000133238	-0.000167612	0.000384621	-0.000178046	-0.000260421	6.93E-05	-0.000252866	0.000183592	-0.000342875	0.000142772	1.59E-05	-0.000369568	0.000463088	-0.000532241	0.000323348	1.48E-05	9.47E-05	0.000328304	-0.000330858	-0.000391942	-6.95E-05	5.70E-05	-0.000140721	-0.00016411	-0.000269832	-7.44E-05	-0.000392519	-4.84E-05	-6.65E-05	-0.000177419	0.000146952	-0.001320024	0.002500898	0.002601288	-0.000462443	-0.000189161	0.000279025	-0.001176995
